Epoch,Train Loss,Validation Loss
1,1.4427051544189453,0.52813321352005
2,0.6339314579963684,0.359434574842453
3,0.48791423439979553,0.3092511296272278
4,0.4230363368988037,0.2897598147392273
5,0.378705769777298,0.26676318049430847
6,0.3544043004512787,0.24947454035282135
7,0.34890812635421753,0.2393580675125122
8,0.33522722125053406,0.23540720343589783
9,0.3308244049549103,0.21693551540374756
10,0.3094812333583832,0.21794672310352325
11,0.3171441853046417,0.2201400250196457
12,0.3043384850025177,0.20185083150863647
13,0.2953687906265259,0.20416434109210968
14,0.3013246953487396,0.20294426381587982
15,0.2964590787887573,0.20544180274009705
